,STATION,TIME,sum(exits)
0,34 ST-PENN STA,20,2513525
1,34 ST-HERALD SQ,12,2166306
2,47-50 STS ROCK,12,2112493
3,TIMES SQ-42 ST,12,1981987
4,34 ST-HERALD SQ,20,1887926
5,34 ST-PENN STA,12,1436376
6,14 ST-UNION SQ,13,1430727
7,GRD CNTRL-42 ST,9,1393920
8,LEXINGTON AV/53,12,1371745
9,TIMES SQ-42 ST,20,1369283
10,86 ST,20,1359409
11,59 ST,12,1356534
12,34 ST-HERALD SQ,16,1344655
13,14 ST-UNION SQ,21,1328342
14,GRD CNTRL-42 ST,13,1326988
15,34 ST-PENN STA,16,1284517
16,23 ST,12,1254052
17,CHAMBERS ST,12,1247140
18,42 ST-BRYANT PK,12,1225278
19,GRD CNTRL-42 ST,12,1224041
